RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-09-30,2022-11-30,2023-08-31
395015,130,"Reading, PA",msa,PA,2022-08-31,0.3,0.0,2.0
394658,131,"Gulfport, MS",msa,MS,2022-08-31,-0.1,-0.7,0.9
394820,132,"Manchester, NH",msa,NH,2022-08-31,0.1,0.0,2.5
394612,133,"Fort Wayne, IN",msa,IN,2022-08-31,0.2,0.2,2.9
394596,134,"Flint, MI",msa,MI,2022-08-31,0.3,0.4,2.9
394327,135,"Anchorage, AK",msa,AK,2022-08-31,0.6,-0.5,-2.7
394972,136,"Peoria, IL",msa,IL,2022-08-31,0.1,-0.7,-2.3
394439,137,"Canton, OH",msa,OH,2022-08-31,0.1,-0.2,1.9
395070,138,"Savannah, GA",msa,GA,2022-08-31,0.7,1.3,3.8
394901,139,"Naples, FL",msa,FL,2022-08-31,0.2,0.3,4.7
395096,140,"Shreveport, LA",msa,LA,2022-08-31,-0.3,-1.4,-3.9
394372,141,"Beaumont, TX",msa,TX,2022-08-31,0.7,0.2,-0.1
395146,142,"Tallahassee, FL",msa,FL,2022-08-31,0.5,0.4,2.1
394576,143,"Eugene, OR",msa,OR,2022-08-31,0.0,-0.3,3.0
394520,144,"Davenport, IA",msa,IL,2022-08-31,-0.2,-1.1,-2.2
394927,145,"Ocala, FL",msa,FL,2022-08-31,1.1,1.6,7.0
394875,146,"Montgomery, AL",msa,AL,2022-08-31,0.4,0.0,0.5
394679,147,"Hickory, NC",msa,NC,2022-08-31,0.6,1.0,3.9
395164,148,"Trenton, NJ",msa,NJ,2022-08-31,0.1,-0.5,0.6
394332,149,"Ann Arbor, MI",msa,MI,2022-08-31,-0.1,-0.6,-0.4
394602,150,"Fort Collins, CO",msa,CO,2022-08-31,-0.7,-1.3,0.1
394697,151,"Huntington, WV",msa,OH,2022-08-31,0.0,-0.9,-1.5
394796,152,"Lincoln, NE",msa,NE,2022-08-31,-0.3,-0.8,0.3
395033,153,"Rockford, IL",msa,IL,2022-08-31,0.1,-0.3,1.0
394645,154,"Greeley, CO",msa,CO,2022-08-31,-0.2,-0.8,1.0
394622,155,"Gainesville, FL",msa,FL,2022-08-31,0.4,0.3,2.8
394405,156,"Boulder, CO",msa,CO,2022-08-31,-0.6,-1.2,0.4
394808,157,"Lubbock, TX",msa,TX,2022-08-31,0.1,-0.8,-0.5
395109,158,"Spartanburg, SC",msa,SC,2022-08-31,0.5,0.4,4.2
394646,159,"Green Bay, WI",msa,WI,2022-08-31,0.2,0.4,2.4
395107,160,"South Bend, IN",msa,IN,2022-08-31,0.3,0.3,3.1
394488,161,"Columbus, GA",msa,GA,2022-08-31,0.4,0.1,1.4
394579,162,"Evansville, IN",msa,IN,2022-08-31,-0.1,-0.5,0.8
394471,163,"Clarksville, TN",msa,TN,2022-08-31,0.8,1.4,5.1
395028,164,"Roanoke, VA",msa,VA,2022-08-31,0.3,-0.2,0.8
394747,165,"Kingsport, TN",msa,TN,2022-08-31,0.6,0.8,2.4
394741,166,"Kennewick, WA",msa,WA,2022-08-31,-0.2,-0.7,3.3
